epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,112.743,0.9472,0.87594,0.97281,0.90831,0.74341,0.87905,0.6523,1.0201,0.76942,0.94683,0.000323813,0.000323813,0.000323813
140,113.502,0.87988,0.87648,0.89486,0.93322,0.72889,0.89813,0.66579,1.01439,0.76491,0.94038,0.000320986,0.000320986,0.000320986
141,114.262,0.83298,0.78011,0.8907,0.93322,0.72889,0.89813,0.66579,1.01439,0.76491,0.94038,0.000318158,0.000318158,0.000318158
142,115.041,0.84768,0.86459,0.92739,0.89667,0.76597,0.88288,0.66014,1.03619,0.75328,0.93714,0.000315331,0.000315331,0.000315331
143,115.749,0.79035,1.0371,0.91363,0.90524,0.78186,0.87876,0.64124,1.07627,0.74045,0.94492,0.000312504,0.000312504,0.000312504
144,116.514,0.85063,0.91407,0.91078,0.89546,0.7729,0.87176,0.63781,1.07707,0.74324,0.94185,0.000309676,0.000309676,0.000309676
145,117.236,0.83524,0.84702,0.8944,0.89546,0.7729,0.87176,0.63781,1.07707,0.74324,0.94185,0.000306849,0.000306849,0.000306849
146,118.022,0.8039,0.84136,0.8995,0.8977,0.78153,0.88047,0.64387,1.05515,0.74456,0.93781,0.000304021,0.000304021,0.000304021
147,118.796,0.82137,0.84928,0.9115,0.89027,0.77767,0.88461,0.65576,1.04515,0.73252,0.93758,0.000301194,0.000301194,0.000301194
148,119.548,0.85869,0.93223,0.96191,0.88623,0.75402,0.88551,0.64775,1.05336,0.75069,0.94143,0.000298366,0.000298366,0.000298366
149,120.268,0.90037,0.84896,0.96627,0.88623,0.75402,0.88551,0.64775,1.05336,0.75069,0.94143,0.000295539,0.000295539,0.000295539
150,121.066,0.89842,0.87624,0.93882,0.91623,0.73108,0.89038,0.64999,1.07104,0.76641,0.9484,0.000292711,0.000292711,0.000292711
151,121.804,0.87736,0.88996,0.8918,0.88206,0.78879,0.87858,0.63645,1.07752,0.75113,0.95482,0.000289884,0.000289884,0.000289884
152,122.537,0.80322,0.85779,0.89718,0.9325,0.73583,0.87587,0.64114,1.0615,0.74176,0.95304,0.000287057,0.000287057,0.000287057
153,123.27,0.77116,0.78436,0.90279,0.9325,0.73583,0.87587,0.64114,1.0615,0.74176,0.95304,0.000284229,0.000284229,0.000284229
154,124.048,0.77755,0.75219,0.89635,0.92355,0.7412,0.86434,0.64118,1.03477,0.73578,0.94687,0.000281402,0.000281402,0.000281402
155,124.799,0.8299,0.83976,0.89735,0.91522,0.74723,0.87,0.64107,1.02742,0.72521,0.94498,0.000278574,0.000278574,0.000278574
156,125.667,0.83109,0.85305,0.94622,0.88003,0.79404,0.8724,0.64781,1.00994,0.69981,0.93974,0.000275747,0.000275747,0.000275747
157,126.477,0.79907,0.79178,0.86797,0.88003,0.79404,0.8724,0.64781,1.00994,0.69981,0.93974,0.000272919,0.000272919,0.000272919
158,127.346,0.98304,0.95537,0.97364,0.906,0.7684,0.88439,0.66151,0.99028,0.67864,0.93234,0.000270092,0.000270092,0.000270092
159,128.118,0.95255,0.87477,0.90569,0.91979,0.78777,0.8861,0.66461,0.99324,0.67513,0.92969,0.000267264,0.000267264,0.000267264
160,129.042,0.89698,0.82284,0.88374,0.92883,0.76787,0.91049,0.67807,0.99767,0.68735,0.93048,0.000264437,0.000264437,0.000264437
161,129.806,0.78642,0.80419,0.87864,0.92883,0.76787,0.91049,0.67807,0.99767,0.68735,0.93048,0.00026161,0.00026161,0.00026161
162,130.549,0.80406,0.80999,0.89672,0.93896,0.77723,0.8944,0.67176,1.00139,0.68914,0.93364,0.000258782,0.000258782,0.000258782
163,131.29,0.74074,0.80603,0.87146,0.94736,0.76921,0.8861,0.65721,1.01351,0.68425,0.93951,0.000255955,0.000255955,0.000255955
164,132.085,0.78933,0.83619,0.87654,0.95406,0.75498,0.8737,0.63916,1.04211,0.68936,0.94748,0.000253127,0.000253127,0.000253127
165,132.793,0.79186,0.80041,0.90518,0.95406,0.75498,0.8737,0.63916,1.04211,0.68936,0.94748,0.0002503,0.0002503,0.0002503
166,133.548,0.79723,0.78897,0.89523,0.91948,0.73839,0.86537,0.62434,1.06063,0.71512,0.95632,0.000247472,0.000247472,0.000247472
167,134.311,0.77615,0.80157,0.88146,0.89945,0.73279,0.86124,0.61913,1.06958,0.74545,0.96112,0.000244645,0.000244645,0.000244645
168,135.079,0.79266,0.78472,0.89107,0.84046,0.77357,0.85836,0.61327,1.06579,0.77402,0.96058,0.000241818,0.000241818,0.000241818
169,135.798,0.78074,0.8623,0.88107,0.84046,0.77357,0.85836,0.61327,1.06579,0.77402,0.96058,0.00023899,0.00023899,0.00023899
170,136.576,0.84655,0.83196,0.87434,0.90707,0.73239,0.8604,0.61744,1.06519,0.75931,0.96162,0.000236163,0.000236163,0.000236163
171,137.374,0.77506,0.82668,0.89216,0.89728,0.74157,0.87086,0.6334,1.06836,0.73361,0.9591,0.000233335,0.000233335,0.000233335
172,138.165,0.86907,0.81771,0.93597,0.91607,0.76814,0.87456,0.62105,1.09652,0.71329,0.96306,0.000230508,0.000230508,0.000230508
173,139.038,0.79196,0.82828,0.87188,0.91607,0.76814,0.87456,0.62105,1.09652,0.71329,0.96306,0.00022768,0.00022768,0.00022768
174,139.77,0.81872,0.78868,0.90613,0.92781,0.75214,0.8774,0.61641,1.11995,0.70923,0.96449,0.000224853,0.000224853,0.000224853
175,140.634,0.82589,0.79803,0.90338,0.95001,0.75651,0.87873,0.61388,1.13097,0.71097,0.96588,0.000222025,0.000222025,0.000222025
176,141.45,0.76871,0.76846,0.8603,0.91822,0.7628,0.88268,0.63674,1.10002,0.70956,0.95873,0.000219198,0.000219198,0.000219198
177,142.243,0.8021,0.84076,0.93309,0.91822,0.7628,0.88268,0.63674,1.10002,0.70956,0.95873,0.000216371,0.000216371,0.000216371
178,143.01,0.75861,0.80558,0.86758,0.90629,0.76881,0.88769,0.64843,1.07677,0.70144,0.95554,0.000213543,0.000213543,0.000213543
